date,name,ascent_type,grade,angle,style,key
2022-02-05,Acid Wash Right Jug Start,Redpoint,v7,Overhang,Compression,90c66821-9bf7-4351-b465-2d563e5d4db0
2021-02-26,Mexican Chicken,Redpoint,v6,Roof,Crimps,b3552596-59d3-4d5e-8614-627480f55378
2021-02-22,Speedbump,Redpoint,v7,Roof,Compression,bf9539c1-0c14-40dc-99f0-6a58f54e0448
2021-02-21,Baby Face,Redpoint,v7,Overhang,Crimps,5d237e9f-c9dd-4b35-90d2-d398e16efe1b
2021-02-17,Dean's Trip,Redpoint,v5,Overhang,Crimps,96ee8b68-cbae-44bc-8acc-87909c37c981
2021-02-16,Sign of the Cross,Onsight,v3,Vertical,Crimps,186d495e-1851-4651-9556-8717ba70b7ec
2021-01-16,Nut Dragger,Redpoint,v6,Overhang,Slopers,722f597e-5be2-48c9-8f14-05ce1e977287
2021-01-03,Bard's Arete,Onsight,v5,Vertical,Crimps,e2c6054f-28b8-4eb4-8c27-15ebff31f5ed
2021-01-03,Go Granny Go,Redpoint,v5,Overhang,Crimps,45c7120b-2c2b-402f-b7ed-7471145a06a0
2021-01-03,Pain Grain SDS,Redpoint,v7,Overhang,Crimps,d2e66a68-fcb7-4c5b-81b2-f910e85e0f10
2020-12-13,Donkey Punch,Redpoint,v6,Vertical,Crimps,b093d728-a2d0-41f0-9e69-8ce0f6728b1c
2020-12-13,My Tan,Redpoint,v7,Overhang,Crimps,28b70a0f-cc9b-4aa7-9dcd-486a1b7f1bf7
2020-12-12,Face Plate,Redpoint,v6,Overhang,Crimps,e3750d42-cd1f-4490-82dd-f33cc22d8c0d
2022-04-24,Khaleesi,Onsight,5.11c,Vertical,Crimps,c53f4bd3-f82f-42de-86de-ba1e58779ac8
2022-04-25,Man Eater,Redpoint,5.12a,Overhang,Crimps,653e4cf3-57b9-4c8f-b9dc-02b8069b89af
2022-05-13,Crosta Panic,Onsight,5.12a,Vertical,Crimps,4a717b22-cd47-4b66-bff9-f836ef3c16d1
2022-08-19,Super Mama,Redpoint,5.13b,Vertical,Crimps,6374b0cc-17d4-4b87-9fbe-59d6561922d4
2022-05-14,Ten amigos pa jodelos,Redpoint,5.12b,Vertical,Pockets,7898fddc-f0b3-470c-8798-97b191975854
2022-05-09,El vikari,Onsight,5.12b,Vertical,Pockets,f890ee3c-99b2-44e9-a3c9-92b0f5d74134
2022-05-09,El sikari,Onsight,5.11d,Vertical,Pockets,2c4a4150-ff02-4db8-a66a-8e191c31188b
2022-10-21,OG Pimp Juice,Onsight,5.12a,Overhang,Jugs,438b1149-fa4e-42ff-8ba9-823410e4ecbb
2023-06-11,The Big Calm,Onsight,5.12b,Overhang,Jugs,5068af4e-7bea-49c5-a136-4e65b683d4a4
2023-06-13,Popcorn,Onsight,5.12b,Overhang,Jugs,64267143-b85b-4e43-b67c-cd2acdb09e80
2023-06-13,Sweet Pea,Onsight,5.12a,Overhang,Jugs,12cd791b-5d51-46c0-8c32-c43acf0c91bf
2023-06-14,Vertical Smile,Onsight,5.12c,Overhang,Slopers,bdb1f322-acc7-408c-b884-31f82d06bf32
2023-06-16,Brother Clucker,Onsight,5.12b,Vertical,Crimps,1b3e118d-ded2-403e-8d4c-0c2437f8028b
2023-06-16,Braintree,Redpoint,5.12c,Overhang,Crimps,d7c4b027-7bc3-4b83-8b55-7178ce765f40
2023-06-10,Dr. Goodkind,Redpoint,5.12a,Overhang,Jugs,3e14952c-1277-43ea-bb96-33fd9d5c81ef
2023-06-09,Zoaster Toster,Redpoint,5.11d,Overhang,Jugs,436dd8f9-5780-4037-a744-720e5afdcaaf
2023-05-27,Gold Standard,Redpoint,5.12b,Vertical,Crimps,358c5ddd-673a-48d1-b6ac-aa53fa635b22
2022-11-22,The Force,Redpoint,5.13a,Overhang,Incuts,22efc5cf-0ab0-4b0c-9d4f-8869bab348f4
2022-11-12,Supafly,Redpoint,5.12a,Overhang,Pockets,8a9b000c-6beb-407b-94a5-404aba00d346
2022-05-13,Bistec de Bicceps,Redpoint,5.12c,Overhang,Pockets,e92da8ef-7bc8-4586-bbbc-4a6c83ade2f0
2022-10-22,Collision Damage,Redpoint,5.11d,Overhang,Jugs,ed95194c-da7c-4aea-8f36-6b0b30b1017e
2022-10-23,Malice,Redpoint,5.12c,Overhang,Pinch,9ce497f4-8cd5-4872-89c4-22a0c40fb991
2022-11-08,Stunning the Hog,Redpoint,5.12d,Overhang,Pinch,aa8e9dd1-ab80-45e7-ba67-4b86267d0506
2022-11-21,Maizy Mae,Redpoint,5.13a,Overhang,Crimps,9624d5e1-c096-408e-9cde-338e5d7f3538
2022-11-21,Dirty Smelly Hippie,Redpoint,5.13b,Overhang,Pockets,2a7c68da-6ce8-4170-b0ea-0382e1bc5dc4
2022-10-25,Prometheus Unbound,Redpoint,5.13a,Overhang,Pockets,ce8c4394-6248-4a5d-8a8e-c6ca99b128cb
2022-04-02,Cry Baby,Redpoint,5.12a,Overhang,Compression,8c7aae9c-1f2e-4c3d-bbba-ca9b42ce3326
2022-04-02,Swiss Arete,Redpoint,5.12a,Overhang,Jugs,b5541c6a-7567-4c38-9b14-e58a474afa1e
2023-06-17,Functional Idiot,Onsight,5.12b,Overhang,Jugs,86aec7eb-c459-4ace-baf6-02ae81554c81
2023-06-19,Looking for yesterday,Onsight,5.12a,Vertical,Incuts,cf22bad4-e5de-4905-a66c-115ed289c0e8
2023-06-19,Uncle Bill,Redpoint,5.12b,Overhang,Incuts,bf252abd-e0a2-4d1d-868e-6afeec0f0b55
2023-06-19,Welcome Back Cobble,Redpoint,5.12d,Overhang,Slopers,3e3976a8-670a-410f-aefc-32a43b265ade
2023-06-16,51 (Scoops),Redpoint,5.12c,Overhang,Crimps,a6bdb43b-80a0-4fe6-8758-6dda3e918cb8
2022-04-26,Sidewinder,Redpoint,5.12b,Overhang,Crimps,cdfbc92f-9ba1-4993-9bb9-6bd72a4b1f59
2023-06-04,Shaguar,Onsight,5.12c,Vertical,Crimps,0563b957-d4fc-4840-af04-87ed92960bc8
2023-06-04,Soul Bossa Nova,Onsight,5.12b,Vertical,Crimps,dab51c92-fc31-448a-8216-c340e0aa2855
2023-06-06,Bo Cleevil,Redpoint,5.13b,Vertical,Crimps,1ba66bc3-a8f5-48d1-b43d-a4ca3830291b
2023-06-03,Center El Shinto,Redpoint,5.12b,Vertical,Crimps,342dfd45-51ef-4bbe-bf5d-099808f2517d
2023-07-03,Wyoming Flower Child,Redpoint,5.11d,Vertical,Crimps,ae4f01f0-d702-4e10-9ea2-b40800e8967f
2023-07-01,Ruby Shooter,Redpoint,5.12b,Overhang,Incuts,0c0a29e4-a116-4089-8e26-572f0e2ed230
2023-07-01,The Devil Wears Spurs,Redpoint,5.11d,Vertical,Pockets,c2cff4e2-989c-488b-9b1d-b51456dad207
2023-07-10,Helion,Redpoint,5.13c,Overhang,Pockets,22c9fd08-4826-445e-861f-9918add92fe7
2023-07-08,Wu-Tang's Wild Shinto Ride,Redpoint,5.12a,Vertical,Crimps,0b3aecea-dd03-465b-b023-fa2544648e75
2023-07-08,Left El Shinto,Redpoint,5.12b,Vertical,Crimps,c5fef457-24ed-46b7-a160-307dfd37dc3b
2023-07-15,Dope Shinto,Redpoint,5.12a,Vertical,Crimps,31aab7eb-dba3-4686-a60d-71c79c7a33bf
2023-07-16,Sid and Nancy,Onsight,5.12a,Overhang,Pockets,60411ddc-8b74-45c6-9026-255bdd94e810
2023-08-18,Holla,Redpoint,5.12d,Overhang,Pockets,8a315f5e-942a-432d-8895-699ed2349aae
2023-08-13,Sky Pilot,Redpoint,5.13d,Vertical,Crimps,d22e61e3-5fba-42e8-9852-29ee89755768
2023-08-19,When I was a Young Girl,Redpoint,5.13a,Overhang,Pockets,eb3c39f0-e676-4077-9cd9-caac524314a0
2023-10-16,Syrtaki Lessons,Redpoint,5.13a,Overhang,Tufa,c413d5f0-e972-4dba-95c5-20bf828817ba
2022-10-14,Ricounet,Onsight,5.11d,Vertical,Tufa,223280c3-cb85-4794-8cda-3f51455a1ad5
2023-10-12,Lucky Strike,Redpoint,5.12b,Overhang,Jugs,81b086a5-8cad-43c9-a1e0-e0f3ed20752a
2023-10-12,Bosmogy,Redpoint,5.12d,Vertical,Crimps,634aca6a-93bf-415e-bf43-d78500ed8e63
2023-10-09,Kalypige,Onsight,5.11c,Vertical,Tufa,6e881905-d883-452e-9e92-97d63010c3ca
2023-10-07,Armata Sikati,Onsight,5.12b,Overhang,Tufa,f00b3ad4-2603-4f2b-bfbd-3dc28723e9fe
2023-10-06,0.07 Seconds,Redpoint,5.12b,Overhang,Jugs,9d6270b8-eeb7-4d1d-bc60-4a0a2e091d72
2023-10-04,Mindboggle,Redpoint,5.12c,Overhang,Tufa,b5f061e1-cc04-454d-b8e1-9a7377e77e36
2023-10-03,Feta,Onsight,5.11b,Overhang,Tufa,4164965e-7d6e-4c3d-af3f-ec0b87bf42f1
2023-10-03,Elies,Onsight,5.12a,Overhang,Tufa,012a1898-89fa-4476-ae34-c9fa24a375e3
2023-09-30,Pomponpidoux,Redpoint,5.12b,Vertical,Tufa,7061b9df-c4ee-48fa-8b3e-819a278b64c6
2023-09-27,DNA,Onsight,5.11d,Overhang,Tufa,f1337f21-7eb9-4fdb-95d3-088cfd7ba005
2023-09-27,Ivi,Redpoint,5.12a,Overhang,Tufa,d9b113b8-b3f3-4361-b780-244f13830c57
2023-10-06,Timba Climber,Onsight,5.12b,Vertical,Crimps,1c987dd8-97fc-4d77-90e9-d1a6ce9ef2c3
